dms.h:44:  #ifndef header guard has wrong style, please use: DMS_H_  [build/header_guard] [5]
dms.h:208:  #endif line should be "#endif  // DMS_H_"  [build/header_guard] [5]
dms.h:48:  At least two spaces is best between code and comments  [whitespace/comments] [2]
dms.h:48:  Found C system header after C++ system header. Should be: dms.h, c system, c++ system, other.  [build/include_order] [4]
dms.h:51:  { should almost always be at the end of the previous line  [whitespace/braces] [4]
dms.h:52:  Should have a space between // and comment  [whitespace/comments] [4]
dms.h:53:  Do not indent within a namespace.  [whitespace/indent_namespace] [4]
dms.h:57:  Do not indent within a namespace.  [whitespace/indent_namespace] [4]
dms.h:59:  Do not indent within a namespace.  [whitespace/indent_namespace] [4]
dms.h:59:  { should almost always be at the end of the previous line  [whitespace/braces] [4]
dms.h:60:  Extra space before last semicolon. If this should be an empty statement, use {} instead.  [whitespace/semicolon] [5]
dms.h:62:  { should almost always be at the end of the previous line  [whitespace/braces] [4]
dms.h:63:  Extra space before last semicolon. If this should be an empty statement, use {} instead.  [whitespace/semicolon] [5]
dms.h:64:  Extra space before last semicolon. If this should be an empty statement, use {} instead.  [whitespace/semicolon] [5]
dms.h:67:  Extra space before last semicolon. If this should be an empty statement, use {} instead.  [whitespace/semicolon] [5]
dms.h:67:  Using C-style cast.  Use static_cast<int>(...) instead  [readability/casting] [4]
dms.h:68:  Extra space before last semicolon. If this should be an empty statement, use {} instead.  [whitespace/semicolon] [5]
dms.h:68:  Using C-style cast.  Use static_cast<double>(...) instead  [readability/casting] [4]
dms.h:70:  Extra space before last semicolon. If this should be an empty statement, use {} instead.  [whitespace/semicolon] [5]
dms.h:72:  Extra space before last semicolon. If this should be an empty statement, use {} instead.  [whitespace/semicolon] [5]
dms.h:72:  Using C-style cast.  Use static_cast<int>(...) instead  [readability/casting] [4]
dms.h:74:  Extra space before last semicolon. If this should be an empty statement, use {} instead.  [whitespace/semicolon] [5]
dms.h:74:  Using C-style cast.  Use static_cast<double>(...) instead  [readability/casting] [4]
dms.h:77:  Missing username in TODO; it should look like "// TODO(my_username): Stuff."  [readability/todo] [2]
dms.h:79:  Extra space before last semicolon. If this should be an empty statement, use {} instead.  [whitespace/semicolon] [5]
dms.h:80:  Extra space before last semicolon. If this should be an empty statement, use {} instead.  [whitespace/semicolon] [5]
dms.h:83:  { should almost always be at the end of the previous line  [whitespace/braces] [4]
dms.h:84:  Extra space before last semicolon. If this should be an empty statement, use {} instead.  [whitespace/semicolon] [5]
dms.h:85:  Extra space before last semicolon. If this should be an empty statement, use {} instead.  [whitespace/semicolon] [5]
dms.h:88:  Extra space before last semicolon. If this should be an empty statement, use {} instead.  [whitespace/semicolon] [5]
dms.h:91:  { should almost always be at the end of the previous line  [whitespace/braces] [4]
dms.h:92:  Extra space before last semicolon. If this should be an empty statement, use {} instead.  [whitespace/semicolon] [5]
dms.h:95:  Too many spaces before TODO  [whitespace/todo] [2]
dms.h:95:  Missing username in TODO; it should look like "// TODO(my_username): Stuff."  [readability/todo] [2]
dms.h:100:  Extra space before last semicolon. If this should be an empty statement, use {} instead.  [whitespace/semicolon] [5]
dms.h:101:  Extra space before last semicolon. If this should be an empty statement, use {} instead.  [whitespace/semicolon] [5]
dms.h:102:  Extra space before last semicolon. If this should be an empty statement, use {} instead.  [whitespace/semicolon] [5]
dms.h:104:  Extra space before last semicolon. If this should be an empty statement, use {} instead.  [whitespace/semicolon] [5]
dms.h:106:  { should almost always be at the end of the previous line  [whitespace/braces] [4]
dms.h:107:  Extra space before last semicolon. If this should be an empty statement, use {} instead.  [whitespace/semicolon] [5]
dms.h:108:  Extra space before last semicolon. If this should be an empty statement, use {} instead.  [whitespace/semicolon] [5]
dms.h:110:  An else should appear on the same line as the preceding }  [whitespace/newline] [4]
dms.h:111:  { should almost always be at the end of the previous line  [whitespace/braces] [4]
dms.h:112:  Extra space before last semicolon. If this should be an empty statement, use {} instead.  [whitespace/semicolon] [5]
dms.h:113:  Extra space before last semicolon. If this should be an empty statement, use {} instead.  [whitespace/semicolon] [5]
dms.h:116:  Extra space before last semicolon. If this should be an empty statement, use {} instead.  [whitespace/semicolon] [5]
dms.h:118:  Extra space before last semicolon. If this should be an empty statement, use {} instead.  [whitespace/semicolon] [5]
dms.h:119:  Do not indent within a namespace.  [whitespace/indent_namespace] [4]
dms.h:122:  Do not indent within a namespace.  [whitespace/indent_namespace] [4]
dms.h:124:  Do not indent within a namespace.  [whitespace/indent_namespace] [4]
dms.h:124:  { should almost always be at the end of the previous line  [whitespace/braces] [4]
dms.h:125:  Extra space before last semicolon. If this should be an empty statement, use {} instead.  [whitespace/semicolon] [5]
dms.h:128:  { should almost always be at the end of the previous line  [whitespace/braces] [4]
dms.h:129:  Extra space before last semicolon. If this should be an empty statement, use {} instead.  [whitespace/semicolon] [5]
dms.h:130:  Extra space before last semicolon. If this should be an empty statement, use {} instead.  [whitespace/semicolon] [5]
dms.h:132:  An else should appear on the same line as the preceding }  [whitespace/newline] [4]
dms.h:133:  { should almost always be at the end of the previous line  [whitespace/braces] [4]
dms.h:134:  Extra space before last semicolon. If this should be an empty statement, use {} instead.  [whitespace/semicolon] [5]
